"","Date","SUNRISE.REAL","SUNSET.REAL","SUNRISE.START","SUNSET.END"
"221","Aug 9",2015-08-09 06:12:48,2015-08-09 21:02:51,2015-08-09 06:30:00,2015-08-09 20:30:00
"222","Aug 10",2015-08-10 06:14:17,2015-08-10 21:01:04,2015-08-10 06:15:00,2015-08-10 20:15:00
"223","Aug 11",2015-08-11 06:15:45,2015-08-11 20:59:16,2015-08-11 06:30:00,2015-08-11 20:30:00
"224","Aug 12",2015-08-12 06:17:14,2015-08-12 20:57:27,2015-08-12 07:00:00,2015-08-12 20:00:00
"225","Aug 13",2015-08-13 06:18:44,2015-08-13 20:55:36,2015-08-13 06:45:00,2015-08-13 20:45:00
"226","Aug 14",2015-08-14 06:20:13,2015-08-14 20:53:45,2015-08-14 06:45:00,2015-08-14 20:45:00
"227","Aug 15",2015-08-15 06:21:43,2015-08-15 20:51:52,2015-08-15 07:00:00,2015-08-15 20:00:00
"228","Aug 16",2015-08-16 06:23:13,2015-08-16 20:49:57,2015-08-16 07:15:00,2015-08-16 20:15:00
"229","Aug 17",2015-08-17 06:24:43,2015-08-17 20:48:02,2015-08-17 07:15:00,2015-08-17 20:15:00
"230","Aug 18",2015-08-18 06:26:13,2015-08-18 20:46:06,2015-08-18 07:15:00,2015-08-18 20:15:00
"231","Aug 19",2015-08-19 06:27:43,2015-08-19 20:44:08,2015-08-19 06:30:00,2015-08-19 20:30:00
"232","Aug 20",2015-08-20 06:29:13,2015-08-20 20:42:10,2015-08-20 06:45:00,2015-08-20 19:45:00
"233","Aug 21",2015-08-21 06:30:43,2015-08-21 20:40:10,2015-08-21 07:30:00,2015-08-21 20:30:00
"234","Aug 22",2015-08-22 06:32:13,2015-08-22 20:38:10,2015-08-22 07:30:00,2015-08-22 20:30:00
"235","Aug 23",2015-08-23 06:33:44,2015-08-23 20:36:08,2015-08-23 07:00:00,2015-08-23 20:00:00
"236","Aug 24",2015-08-24 06:35:14,2015-08-24 20:34:06,2015-08-24 07:15:00,2015-08-24 20:15:00
"237","Aug 25",2015-08-25 06:36:44,2015-08-25 20:32:03,2015-08-25 07:00:00,2015-08-25 20:00:00
"238","Aug 26",2015-08-26 06:38:15,2015-08-26 20:30:00,2015-08-26 07:30:00,2015-08-26 20:30:00
"239","Aug 27",2015-08-27 06:39:45,2015-08-27 20:27:55,2015-08-27 07:30:00,2015-08-27 19:30:00
"240","Aug 28",2015-08-28 06:41:15,2015-08-28 20:25:50,2015-08-28 07:00:00,2015-08-28 20:00:00
"241","Aug 29",2015-08-29 06:42:46,2015-08-29 20:23:44,2015-08-29 06:45:00,2015-08-29 19:45:00
"242","Aug 30",2015-08-30 06:44:16,2015-08-30 20:21:37,2015-08-30 07:00:00,2015-08-30 20:00:00
"243","Aug 31",2015-08-31 06:45:46,2015-08-31 20:19:30,2015-08-31 07:00:00,2015-08-31 20:00:00
"244","Sep 1",2015-09-01 06:47:16,2015-09-01 20:17:22,2015-09-01 07:30:00,2015-09-01 19:30:00
"245","Sep 2",2015-09-02 06:48:46,2015-09-02 20:15:14,2015-09-02 07:15:00,2015-09-02 20:15:00
"246","Sep 3",2015-09-03 06:50:17,2015-09-03 20:13:05,2015-09-03 07:45:00,2015-09-03 19:45:00
"247","Sep 4",2015-09-04 06:51:47,2015-09-04 20:10:56,2015-09-04 07:45:00,2015-09-04 19:45:00
"248","Sep 5",2015-09-05 06:53:17,2015-09-05 20:08:46,2015-09-05 07:15:00,2015-09-05 19:15:00
"249","Sep 6",2015-09-06 06:54:47,2015-09-06 20:06:35,2015-09-06 07:15:00,2015-09-06 19:15:00
"250","Sep 7",2015-09-07 06:56:17,2015-09-07 20:04:25,2015-09-07 07:15:00,2015-09-07 19:15:00
"251","Sep 8",2015-09-08 06:57:47,2015-09-08 20:02:14,2015-09-08 07:30:00,2015-09-08 19:30:00
"252","Sep 9",2015-09-09 06:59:18,2015-09-09 20:00:02,2015-09-09 07:45:00,2015-09-09 19:45:00
"253","Sep 10",2015-09-10 07:00:48,2015-09-10 19:57:51,2015-09-10 08:00:00,2015-09-10 19:00:00
"254","Sep 11",2015-09-11 07:02:18,2015-09-11 19:55:39,2015-09-11 07:30:00,2015-09-11 19:30:00
"255","Sep 12",2015-09-12 07:03:48,2015-09-12 19:53:26,2015-09-12 08:00:00,2015-09-12 19:00:00
"256","Sep 13",2015-09-13 07:05:18,2015-09-13 19:51:14,2015-09-13 07:30:00,2015-09-13 19:30:00
"257","Sep 14",2015-09-14 07:06:49,2015-09-14 19:49:01,2015-09-14 08:00:00,2015-09-14 19:00:00
"258","Sep 15",2015-09-15 07:08:19,2015-09-15 19:46:49,2015-09-15 07:45:00,2015-09-15 19:45:00
"259","Sep 16",2015-09-16 07:09:49,2015-09-16 19:44:36,2015-09-16 07:15:00,2015-09-16 19:15:00
"260","Sep 17",2015-09-17 07:11:20,2015-09-17 19:42:23,2015-09-17 07:45:00,2015-09-17 18:45:00
"261","Sep 18",2015-09-18 07:12:50,2015-09-18 19:40:10,2015-09-18 07:45:00,2015-09-18 18:45:00
"262","Sep 19",2015-09-19 07:14:21,2015-09-19 19:37:57,2015-09-19 08:00:00,2015-09-19 19:00:00
"263","Sep 20",2015-09-20 07:15:52,2015-09-20 19:35:43,2015-09-20 07:30:00,2015-09-20 19:30:00
"264","Sep 21",2015-09-21 07:17:23,2015-09-21 19:33:30,2015-09-21 07:45:00,2015-09-21 18:45:00
"265","Sep 22",2015-09-22 07:18:54,2015-09-22 19:31:17,2015-09-22 08:15:00,2015-09-22 19:15:00
"266","Sep 23",2015-09-23 07:20:25,2015-09-23 19:29:04,2015-09-23 08:00:00,2015-09-23 19:00:00
"267","Sep 24",2015-09-24 07:21:56,2015-09-24 19:26:51,2015-09-24 07:45:00,2015-09-24 18:45:00
"268","Sep 25",2015-09-25 07:23:27,2015-09-25 19:24:39,2015-09-25 08:15:00,2015-09-25 19:15:00
"269","Sep 26",2015-09-26 07:24:59,2015-09-26 19:22:26,2015-09-26 07:30:00,2015-09-26 18:30:00
"270","Sep 27",2015-09-27 07:26:30,2015-09-27 19:20:14,2015-09-27 07:45:00,2015-09-27 18:45:00
"271","Sep 28",2015-09-28 07:28:02,2015-09-28 19:18:01,2015-09-28 08:15:00,2015-09-28 19:15:00
"272","Sep 29",2015-09-29 07:29:34,2015-09-29 19:15:49,2015-09-29 08:00:00,2015-09-29 19:00:00
"273","Sep 30",2015-09-30 07:31:07,2015-09-30 19:13:38,2015-09-30 08:30:00,2015-09-30 18:30:00
"274","Oct 1",2015-10-01 07:32:39,2015-10-01 19:11:26,2015-10-01 08:00:00,2015-10-01 19:00:00
"275","Oct 2",2015-10-02 07:34:12,2015-10-02 19:09:15,2015-10-02 08:00:00,2015-10-02 19:00:00
"276","Oct 3",2015-10-03 07:35:45,2015-10-03 19:07:05,2015-10-03 07:45:00,2015-10-03 18:45:00
"277","Oct 4",2015-10-04 07:37:18,2015-10-04 19:04:55,2015-10-04 08:00:00,2015-10-04 19:00:00
"278","Oct 5",2015-10-05 07:38:52,2015-10-05 19:02:45,2015-10-05 07:45:00,2015-10-05 18:45:00
"279","Oct 6",2015-10-06 07:40:25,2015-10-06 19:00:36,2015-10-06 08:00:00,2015-10-06 19:00:00
"280","Oct 7",2015-10-07 07:41:59,2015-10-07 18:58:27,2015-10-07 08:30:00,2015-10-07 18:30:00
"281","Oct 8",2015-10-08 07:43:34,2015-10-08 18:56:19,2015-10-08 08:30:00,2015-10-08 18:30:00
"282","Oct 9",2015-10-09 07:45:08,2015-10-09 18:54:11,2015-10-09 08:15:00,2015-10-09 18:15:00
"283","Oct 10",2015-10-10 07:46:43,2015-10-10 18:52:04,2015-10-10 08:00:00,2015-10-10 18:00:00
"284","Oct 11",2015-10-11 07:48:18,2015-10-11 18:49:58,2015-10-11 08:15:00,2015-10-11 18:15:00
"285","Oct 12",2015-10-12 07:49:53,2015-10-12 18:47:52,2015-10-12 08:30:00,2015-10-12 18:30:00
"286","Oct 13",2015-10-13 07:51:29,2015-10-13 18:45:47,2015-10-13 08:00:00,2015-10-13 18:00:00
"287","Oct 14",2015-10-14 07:53:05,2015-10-14 18:43:43,2015-10-14 08:15:00,2015-10-14 18:15:00
"288","Oct 15",2015-10-15 07:54:42,2015-10-15 18:41:39,2015-10-15 08:45:00,2015-10-15 17:45:00
"289","Oct 16",2015-10-16 07:56:18,2015-10-16 18:39:37,2015-10-16 08:45:00,2015-10-16 17:45:00
"290","Oct 17",2015-10-17 07:57:55,2015-10-17 18:37:35,2015-10-17 08:30:00,2015-10-17 18:30:00
"291","Oct 18",2015-10-18 07:59:32,2015-10-18 18:35:34,2015-10-18 08:00:00,2015-10-18 18:00:00
"292","Oct 19",2015-10-19 08:01:10,2015-10-19 18:33:34,2015-10-19 08:15:00,2015-10-19 18:15:00
"293","Oct 20",2015-10-20 08:02:48,2015-10-20 18:31:35,2015-10-20 08:15:00,2015-10-20 18:15:00
"294","Oct 21",2015-10-21 08:04:26,2015-10-21 18:29:37,2015-10-21 08:30:00,2015-10-21 17:30:00
"295","Oct 22",2015-10-22 08:06:04,2015-10-22 18:27:40,2015-10-22 08:45:00,2015-10-22 17:45:00
"296","Oct 23",2015-10-23 08:07:43,2015-10-23 18:25:45,2015-10-23 09:00:00,2015-10-23 18:00:00
"297","Oct 24",2015-10-24 08:09:22,2015-10-24 18:23:50,2015-10-24 08:30:00,2015-10-24 17:30:00
"298","Oct 25",2015-10-25 08:11:01,2015-10-25 18:21:57,2015-10-25 08:30:00,2015-10-25 17:30:00
"299","Oct 26",2015-10-26 08:12:41,2015-10-26 18:20:04,2015-10-26 09:00:00,2015-10-26 18:00:00
"300","Oct 27",2015-10-27 08:14:20,2015-10-27 18:18:14,2015-10-27 08:45:00,2015-10-27 17:45:00
"301","Oct 28",2015-10-28 08:16:00,2015-10-28 18:16:24,2015-10-28 08:30:00,2015-10-28 17:30:00
"302","Oct 29",2015-10-29 08:17:40,2015-10-29 18:14:36,2015-10-29 09:15:00,2015-10-29 17:15:00
"303","Oct 30",2015-10-30 08:19:20,2015-10-30 18:12:49,2015-10-30 09:15:00,2015-10-30 17:15:00
"304","Oct 31",2015-10-31 08:21:01,2015-10-31 18:11:04,2015-10-31 09:00:00,2015-10-31 18:00:00
"305","Nov 1",2015-11-01 07:22:41,2015-11-01 17:09:20,2015-11-01 07:45:00,2015-11-01 16:45:00
"306","Nov 2",2015-11-02 07:24:22,2015-11-02 17:07:38,2015-11-02 08:00:00,2015-11-02 17:00:00
"307","Nov 3",2015-11-03 07:26:02,2015-11-03 17:05:57,2015-11-03 07:45:00,2015-11-03 16:45:00
"308","Nov 4",2015-11-04 07:27:43,2015-11-04 17:04:18,2015-11-04 07:45:00,2015-11-04 16:45:00
"309","Nov 5",2015-11-05 07:29:23,2015-11-05 17:02:41,2015-11-05 07:30:00,2015-11-05 16:30:00
"310","Nov 6",2015-11-06 07:31:04,2015-11-06 17:01:05,2015-11-06 07:45:00,2015-11-06 16:45:00
"311","Nov 7",2015-11-07 07:32:45,2015-11-07 16:59:31,2015-11-07 07:45:00,2015-11-07 16:45:00
"312","Nov 8",2015-11-08 07:34:25,2015-11-08 16:57:59,2015-11-08 08:15:00,2015-11-08 16:15:00
"313","Nov 9",2015-11-09 07:36:05,2015-11-09 16:56:29,2015-11-09 08:15:00,2015-11-09 16:15:00
"314","Nov 10",2015-11-10 07:37:45,2015-11-10 16:55:01,2015-11-10 08:00:00,2015-11-10 16:00:00
"315","Nov 11",2015-11-11 07:39:25,2015-11-11 16:53:35,2015-11-11 08:00:00,2015-11-11 16:00:00
"316","Nov 12",2015-11-12 07:41:04,2015-11-12 16:52:11,2015-11-12 08:15:00,2015-11-12 16:15:00
"317","Nov 13",2015-11-13 07:42:43,2015-11-13 16:50:49,2015-11-13 08:00:00,2015-11-13 16:00:00
"318","Nov 14",2015-11-14 07:44:22,2015-11-14 16:49:29,2015-11-14 07:45:00,2015-11-14 16:45:00
"319","Nov 15",2015-11-15 07:46:00,2015-11-15 16:48:11,2015-11-15 08:15:00,2015-11-15 16:15:00
"320","Nov 16",2015-11-16 07:47:38,2015-11-16 16:46:56,2015-11-16 08:45:00,2015-11-16 16:45:00
"321","Nov 17",2015-11-17 07:49:15,2015-11-17 16:45:43,2015-11-17 08:00:00,2015-11-17 16:00:00
"322","Nov 18",2015-11-18 07:50:51,2015-11-18 16:44:32,2015-11-18 08:00:00,2015-11-18 16:00:00
"323","Nov 19",2015-11-19 07:52:27,2015-11-19 16:43:24,2015-11-19 08:00:00,2015-11-19 16:00:00
"324","Nov 20",2015-11-20 07:54:02,2015-11-20 16:42:18,2015-11-20 08:30:00,2015-11-20 16:30:00
"325","Nov 21",2015-11-21 07:55:36,2015-11-21 16:41:14,2015-11-21 08:30:00,2015-11-21 16:30:00
"326","Nov 22",2015-11-22 07:57:09,2015-11-22 16:40:13,2015-11-22 08:30:00,2015-11-22 16:30:00
"327","Nov 23",2015-11-23 07:58:41,2015-11-23 16:39:15,2015-11-23 08:15:00,2015-11-23 16:15:00
"328","Nov 24",2015-11-24 08:00:12,2015-11-24 16:38:19,2015-11-24 08:15:00,2015-11-24 16:15:00
"329","Nov 25",2015-11-25 08:01:42,2015-11-25 16:37:27,2015-11-25 09:00:00,2015-11-25 16:00:00
"330","Nov 26",2015-11-26 08:03:10,2015-11-26 16:36:36,2015-11-26 08:15:00,2015-11-26 16:15:00
"331","Nov 27",2015-11-27 08:04:37,2015-11-27 16:35:49,2015-11-27 09:00:00,2015-11-27 16:00:00
"332","Nov 28",2015-11-28 08:06:03,2015-11-28 16:35:04,2015-11-28 08:30:00,2015-11-28 16:30:00
"333","Nov 29",2015-11-29 08:07:28,2015-11-29 16:34:23,2015-11-29 08:45:00,2015-11-29 15:45:00
"334","Nov 30",2015-11-30 08:08:51,2015-11-30 16:33:44,2015-11-30 09:00:00,2015-11-30 16:00:00
"335","Dec 1",2015-12-01 08:10:12,2015-12-01 16:33:08,2015-12-01 08:15:00,2015-12-01 16:15:00
"336","Dec 2",2015-12-02 08:11:31,2015-12-02 16:32:35,2015-12-02 08:45:00,2015-12-02 15:45:00
"337","Dec 3",2015-12-03 08:12:49,2015-12-03 16:32:06,2015-12-03 08:15:00,2015-12-03 16:15:00
"338","Dec 4",2015-12-04 08:14:05,2015-12-04 16:31:39,2015-12-04 08:45:00,2015-12-04 15:45:00
"339","Dec 5",2015-12-05 08:15:19,2015-12-05 16:31:15,2015-12-05 09:00:00,2015-12-05 16:00:00
"340","Dec 6",2015-12-06 08:16:31,2015-12-06 16:30:55,2015-12-06 09:00:00,2015-12-06 16:00:00
"341","Dec 7",2015-12-07 08:17:40,2015-12-07 16:30:37,2015-12-07 08:45:00,2015-12-07 15:45:00
"342","Dec 8",2015-12-08 08:18:48,2015-12-08 16:30:23,2015-12-08 09:00:00,2015-12-08 16:00:00
"343","Dec 9",2015-12-09 08:19:53,2015-12-09 16:30:12,2015-12-09 09:15:00,2015-12-09 16:15:00
"344","Dec 10",2015-12-10 08:20:56,2015-12-10 16:30:04,2015-12-10 08:30:00,2015-12-10 16:30:00
"345","Dec 11",2015-12-11 08:21:57,2015-12-11 16:29:59,2015-12-11 08:30:00,2015-12-11 15:30:00
"346","Dec 12",2015-12-12 08:22:55,2015-12-12 16:29:58,2015-12-12 08:30:00,2015-12-12 15:30:00
"347","Dec 13",2015-12-13 08:23:50,2015-12-13 16:30:00,2015-12-13 09:15:00,2015-12-13 16:15:00
"348","Dec 14",2015-12-14 08:24:43,2015-12-14 16:30:05,2015-12-14 08:30:00,2015-12-14 16:30:00
"349","Dec 15",2015-12-15 08:25:33,2015-12-15 16:30:13,2015-12-15 08:30:00,2015-12-15 16:30:00
"350","Dec 16",2015-12-16 08:26:21,2015-12-16 16:30:24,2015-12-16 08:30:00,2015-12-16 16:30:00
"351","Dec 17",2015-12-17 08:27:06,2015-12-17 16:30:39,2015-12-17 09:00:00,2015-12-17 16:00:00
"352","Dec 18",2015-12-18 08:27:48,2015-12-18 16:30:57,2015-12-18 08:30:00,2015-12-18 16:30:00
"353","Dec 19",2015-12-19 08:28:27,2015-12-19 16:31:18,2015-12-19 09:00:00,2015-12-19 16:00:00
"354","Dec 20",2015-12-20 08:29:03,2015-12-20 16:31:42,2015-12-20 09:15:00,2015-12-20 16:15:00
"355","Dec 21",2015-12-21 08:29:36,2015-12-21 16:32:10,2015-12-21 09:00:00,2015-12-21 16:00:00
"356","Dec 22",2015-12-22 08:30:06,2015-12-22 16:32:40,2015-12-22 09:00:00,2015-12-22 16:00:00
"357","Dec 23",2015-12-23 08:30:33,2015-12-23 16:33:14,2015-12-23 09:15:00,2015-12-23 16:15:00
"358","Dec 24",2015-12-24 08:30:57,2015-12-24 16:33:50,2015-12-24 09:00:00,2015-12-24 16:00:00
"359","Dec 25",2015-12-25 08:31:17,2015-12-25 16:34:30,2015-12-25 09:30:00,2015-12-25 16:30:00
"360","Dec 26",2015-12-26 08:31:35,2015-12-26 16:35:13,2015-12-26 09:30:00,2015-12-26 16:30:00
"361","Dec 27",2015-12-27 08:31:50,2015-12-27 16:35:58,2015-12-27 09:00:00,2015-12-27 16:00:00
"362","Dec 28",2015-12-28 08:32:01,2015-12-28 16:36:46,2015-12-28 09:15:00,2015-12-28 16:15:00
"363","Dec 29",2015-12-29 08:32:09,2015-12-29 16:37:38,2015-12-29 08:45:00,2015-12-29 15:45:00
"364","Dec 30",2015-12-30 08:32:14,2015-12-30 16:38:31,2015-12-30 08:45:00,2015-12-30 15:45:00
"365","Dec 31",2015-12-31 08:32:16,2015-12-31 16:39:28,2015-12-31 09:00:00,2015-12-31 16:00:00
