SortIt,ImageNo,ImageName,folder,Site,SiteNo,Side,SideNo,Date,Time,LFC,LFCC,DF,Pelicans,Grebes,Cormorant,Percent.Obstructed,Exposure,Image.Clarity,Water.Clarity,Month,Day,Year,Time,Date.Time,Discharge.cms,Velocity.m.s,Argo.Depth.m,Logger.Depth.m,Logger.Temp.C,DucksUnlimited.Temp,Camera.Height.cm,width.m,height.m,Area.m.sq,Correction.factor,LFCCR
1220,1842,IMG_1265,100RECNX,Waterhen,1,Lake,1,28/05/2014,15:00:00,12,12,0,0,0,0,0,2,1,2,28,5,2014,15:00:00,28/05/2014 15:00,5.797,0.142,2.943,1.073,16.038,16.5,3.09798115,2.395761763,1.796829067,4.304774373,1.0212,12
1221,1843,IMG_1266,100RECNX,Waterhen,1,Lake,1,28/05/2014,15:15:00,14,14,0,0,0,0,0,2,1,2,28,5,2014,15:15:00,28/05/2014 15:15,4.962,0.134,2.942,1.073,16.13,16.6,3.0989431,2.396505668,1.797386998,4.307448127,1.0206,14
1222,1844,IMG_1267,100RECNX,Waterhen,1,Lake,1,28/05/2014,15:30:00,21,21,0,0,0,0,0,2,1,2,28,5,2014,15:30:00,28/05/2014 15:30,5.106,0.117,2.941,1.073,16.19,16.7,3.09990505,2.397249572,1.797944929,4.310122712,1.02,21
1223,1845,IMG_1268,100RECNX,Waterhen,1,Lake,1,28/05/2014,15:45:00,18,18,0,0,0,0,0,2,1,2,28,5,2014,15:45:00,28/05/2014 15:45,4.76,0.121,2.94,1.072,16.284,16.8,3.100867,2.397993477,1.79850286,4.312798127,1.0193,18
1224,1846,IMG_1269,100RECNX,Waterhen,1,Lake,1,28/05/2014,16:00:00,15,15,0,0,0,0,0,2,1,2,28,5,2014,16:00:00,28/05/2014 16:00,4.733,0.125,2.939,1.071,16.438,16.9,3.10182895,2.398737382,1.799060791,4.315474372,1.0187,15
1225,1847,IMG_1270,100RECNX,Waterhen,1,Lake,1,28/05/2014,16:15:00,26,26,0,0,0,0,0,2,1,2,28,5,2014,16:15:00,28/05/2014 16:15,4.726,0.11,2.94,1.069,16.556,17,3.100867,2.397993477,1.79850286,4.312798127,1.0193,27
1226,1848,IMG_1271,100RECNX,Waterhen,1,Lake,1,28/05/2014,16:30:00,35,35,0,0,0,0,0,2,1,2,28,5,2014,16:30:00,28/05/2014 16:30,3.91,0.112,2.942,1.068,16.667,17.1,3.0989431,2.396505668,1.797386998,4.307448127,1.0206,36
1227,1849,IMG_1272,100RECNX,Waterhen,1,Lake,1,28/05/2014,16:45:00,36,36,0,0,0,0,0,2,1,2,28,5,2014,16:45:00,28/05/2014 16:45,2.967,0.106,2.944,1.066,16.786,17.2,3.0970192,2.395017858,1.796271136,4.302101448,1.0219,37
1228,1850,IMG_1273,100RECNX,Waterhen,1,Lake,1,28/05/2014,17:00:00,22,22,0,0,0,0,0,2,1,2,28,5,2014,17:00:00,28/05/2014 17:00,2.453,0.105,2.944,1.066,16.872,17.2,3.0970192,2.395017858,1.796271136,4.302101448,1.0219,22
1229,1851,IMG_1274,100RECNX,Waterhen,1,Lake,1,28/05/2014,17:15:00,50,50,0,0,0,0,0,2,1,2,28,5,2014,17:15:00,28/05/2014 17:15,1.692,0.105,2.942,1.066,16.952,17.3,3.0989431,2.396505668,1.797386998,4.307448127,1.0206,51
